Unnamed: 0;exec_time;dim;sparse;type;n_loops;sleep;cpu_info;curr_time;env;triangle;CPU;num_of_cores
0;0.0003108978271484;100;False;True;3;0.0;{'Architecture': ('64bit', 'ELF'), 'Machine': 'x86_64', 'Processor': 'x86_64', 'System': 'Linux', 'CPU Cores': 2, 'Logical CPUs': 4, 'CPU Frequency': scpufreq(current=2723.9834999999994, min=800.0, max=3300.0), 'uname': uname_result(system='Linux', node='EliteBookFolio1040-G1', release='5.15.0-91-generic', version='#101-Ubuntu SMP Tue Nov 14 13:30:08 UTC 2023', machine='x86_64')};20240114020339;script;False;i7-4600U;2
1;0.0004935264587402;100;False;True;3;0.15;{'Architecture': ('64bit', 'ELF'), 'Machine': 'x86_64', 'Processor': 'x86_64', 'System': 'Linux', 'CPU Cores': 2, 'Logical CPUs': 4, 'CPU Frequency': scpufreq(current=2915.1115, min=800.0, max=3300.0), 'uname': uname_result(system='Linux', node='EliteBookFolio1040-G1', release='5.15.0-91-generic', version='#101-Ubuntu SMP Tue Nov 14 13:30:08 UTC 2023', machine='x86_64')};20240114020340;script;False;i7-4600U;2
2;0.0007393360137939;100;False;True;3;0.3;{'Architecture': ('64bit', 'ELF'), 'Machine': 'x86_64', 'Processor': 'x86_64', 'System': 'Linux', 'CPU Cores': 2, 'Logical CPUs': 4, 'CPU Frequency': scpufreq(current=2788.5065, min=800.0, max=3300.0), 'uname': uname_result(system='Linux', node='EliteBookFolio1040-G1', release='5.15.0-91-generic', version='#101-Ubuntu SMP Tue Nov 14 13:30:08 UTC 2023', machine='x86_64')};20240114020340;script;False;i7-4600U;2
3;0.0002810955047607;100;False;True;9;0.0;{'Architecture': ('64bit', 'ELF'), 'Machine': 'x86_64', 'Processor': 'x86_64', 'System': 'Linux', 'CPU Cores': 2, 'Logical CPUs': 4, 'CPU Frequency': scpufreq(current=2968.5495, min=800.0, max=3300.0), 'uname': uname_result(system='Linux', node='EliteBookFolio1040-G1', release='5.15.0-91-generic', version='#101-Ubuntu SMP Tue Nov 14 13:30:08 UTC 2023', machine='x86_64')};20240114020340;script;False;i7-4600U;2
4;0.0004932880401611;100;False;True;9;0.15;{'Architecture': ('64bit', 'ELF'), 'Machine': 'x86_64', 'Processor': 'x86_64', 'System': 'Linux', 'CPU Cores': 2, 'Logical CPUs': 4, 'CPU Frequency': scpufreq(current=2993.26325, min=800.0, max=3300.0), 'uname': uname_result(system='Linux', node='EliteBookFolio1040-G1', release='5.15.0-91-generic', version='#101-Ubuntu SMP Tue Nov 14 13:30:08 UTC 2023', machine='x86_64')};20240114020342;script;False;i7-4600U;2
5;0.0006999969482421;100;False;True;9;0.3;{'Architecture': ('64bit', 'ELF'), 'Machine': 'x86_64', 'Processor': 'x86_64', 'System': 'Linux', 'CPU Cores': 2, 'Logical CPUs': 4, 'CPU Frequency': scpufreq(current=2993.271, min=800.0, max=3300.0), 'uname': uname_result(system='Linux', node='EliteBookFolio1040-G1', release='5.15.0-91-generic', version='#101-Ubuntu SMP Tue Nov 14 13:30:08 UTC 2023', machine='x86_64')};20240114020345;script;False;i7-4600U;2
6;0.0002572536468505;100;False;False;3;0.0;{'Architecture': ('64bit', 'ELF'), 'Machine': 'x86_64', 'Processor': 'x86_64', 'System': 'Linux', 'CPU Cores': 2, 'Logical CPUs': 4, 'CPU Frequency': scpufreq(current=2993.2647500000003, min=800.0, max=3300.0), 'uname': uname_result(system='Linux', node='EliteBookFolio1040-G1', release='5.15.0-91-generic', version='#101-Ubuntu SMP Tue Nov 14 13:30:08 UTC 2023', machine='x86_64')};20240114020345;script;False;i7-4600U;2
7;0.0005114078521728;100;False;False;3;0.15;{'Architecture': ('64bit', 'ELF'), 'Machine': 'x86_64', 'Processor': 'x86_64', 'System': 'Linux', 'CPU Cores': 2, 'Logical CPUs': 4, 'CPU Frequency': scpufreq(current=2915.75625, min=800.0, max=3300.0), 'uname': uname_result(system='Linux', node='EliteBookFolio1040-G1', release='5.15.0-91-generic', version='#101-Ubuntu SMP Tue Nov 14 13:30:08 UTC 2023', machine='x86_64')};20240114020345;script;False;i7-4600U;2
8;0.000739574432373;100;False;False;3;0.3;{'Architecture': ('64bit', 'ELF'), 'Machine': 'x86_64', 'Processor': 'x86_64', 'System': 'Linux', 'CPU Cores': 2, 'Logical CPUs': 4, 'CPU Frequency': scpufreq(current=2851.24325, min=800.0, max=3300.0), 'uname': uname_result(system='Linux', node='EliteBookFolio1040-G1', release='5.15.0-91-generic', version='#101-Ubuntu SMP Tue Nov 14 13:30:08 UTC 2023', machine='x86_64')};20240114020346;script;False;i7-4600U;2
9;0.0002639293670654;100;False;False;9;0.0;{'Architecture': ('64bit', 'ELF'), 'Machine': 'x86_64', 'Processor': 'x86_64', 'System': 'Linux', 'CPU Cores': 2, 'Logical CPUs': 4, 'CPU Frequency': scpufreq(current=2993.264, min=800.0, max=3300.0), 'uname': uname_result(system='Linux', node='EliteBookFolio1040-G1', release='5.15.0-91-generic', version='#101-Ubuntu SMP Tue Nov 14 13:30:08 UTC 2023', machine='x86_64')};20240114020346;script;False;i7-4600U;2
